SATHIYAM TV,561,Tamil,News,224.2.2.5,239.11.11.15,3248,10097,FALSE,BUSY,TRUE,Trans06-13013,https://192.168.200.125:12000/msos/master/t12/SATHIYAM_TV/SATHIYAM_TV.m3u8,,,,,,,,,,working
Surya HD,700,Malayalam,GEC,224.2.2.26,239.11.11.11,1236,10371,FALSE,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Surya_HD/Surya_HD.m3u8,,,,,,,,,,working
Times Navbharath HD,225,Hindi,News,224.2.2.41,239.11.11.13,3024,10019,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/Times_Navbharath_HD/Times_Navbharath_HD.m3u8,,,,,,,,,,working
V TV News,367,Gujarathi,News,224.2.2.3,239.11.11.16,3320,15065,FALSE,BUSY,TRUE,Trans07-13022,https://192.168.200.125:12000/msos/master/t13/V_TV_News/V_TV_News.m3u8,,,,,,,,,,working
Sonic Nickelodeon,154,Hindi,Kids,224.2.2.46,239.11.11.13,3002,10011,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/Sonic_Nickelodeon/Sonic_Nickelodeon.m3u8,,,,,,,,,,
Star Gold HD,160,Hindi,Movies,224.2.2.13,239.11.11.11,1240,10278,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_Gold_HD/Star_Gold_HD.m3u8,,,,,,,,,,
SONY MAX HD,161,Hindi,Movies,224.2.2.32,239.11.11.13,1248,10012,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_MAX_HD/SONY_MAX_HD.m3u8,,,,,,,,,,
SONY MAX,162,Hindi,Movies,224.2.2.33,239.11.11.11,1236,10267,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/SONY_MAX/SONY_MAX.m3u8,,,,,,,,,,
Star Gold,163,Hindi,Movies,224.2.2.28,239.11.11.11,1248,10276,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_Gold/Star_Gold.m3u8,,,,,,,,,,
Star Gold 2,165,Hindi,Movies,224.2.2.30,239.11.11.11,1238,10277,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_Gold_2/Star_Gold_2.m3u8,,,,,,,,,,
SONY MAX 2,166,Hindi,Movies,224.2.2.30,239.11.11.11,1248,10268,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/SONY_MAX_2/SONY_MAX_2.m3u8,,,,,,,,,,
SONY WAH,167,Hindi,Movies,224.2.2.32,239.11.11.13,1246,10014,FALSE,BUSY,TRUE,Trans05-13014,https://192.168.200.125:12000/msos/master/t11/SONY_WAH/SONY_WAH.m3u8,,,,,,,,,,
Colors Cineplex Superhits,168,Hindi,Movies,224.2.2.34,239.11.11.10,5006,10015,TRUE,BUSY,TRUE,Trans02-13010,https://192.168.200.125:12000/msos/master/t9/Colors_Cineplex_Superhits/Colors_Cineplex_Superhits.m3u8,,,,,,,,,,working
Star Gold Select HD,170,Hindi,Movies,224.2.2.10,239.11.11.11,1244,10280,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_Gold_Select_HD/Star_Gold_Select_HD.m3u8,,,,,,,,,,
Star Utsav Movies,171,Hindi,Movies,224.2.2.10,239.11.11.11,1246,10293,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_Utsav_Movies/Star_Utsav_Movies.m3u8,,,,,,,,,,
Star Gold Select,172,Hindi,Movies,224.2.2.30,239.11.11.11,1236,10279,,BUSY,TRUE,Trans04-13011,https://192.168.200.125:12000/msos/master/t10/Star_Gold_Select/Star_Gold_Select.m3u8,,,,,,,,,,
